sebi_id,name,reg_no,category,contact_person,email,telephone,fax,website,domain,pincode,city,state,address,correspondence_address,validity,sebi_type
26,3ONE4 CAPITAL INDIA INTERNET DYNAMICS,IN/AIF1/22-23/1215,Category I,SIDDARTH PAI,deepak@3one4capital.com,,,,,560001,Bangalore,Karnataka,"Office No. 01, 5th floor, 1 Sobha, 50, St. Marks Road, BANGALORE, KARNATAKA, 560001","Office No. 01, 5th Floor, 1 Sobha, 50, St. Marks Road, BANGALORE, KARNATAKA, 560001","Feb 24, 2023 - Perpetual",aif
27,3ONE4CAPITAL TRUST,IN/AIF1/15-16/0204,Category I,,,,,,,560001,Bangalore,Karnataka,"Office No. 01, 5th Floor, , 1 Sobha, 50 St Marks Road, BANGALORE, KARNATAKA, 560001",,"Feb 04, 2016 - Perpetual",aif
28,3P INDIA EQUITY FUND,IN/AIF3/22-23/1221,Category III,Sharad Mohnot,sharadm@3pim.in,,,,,400030,Mumbai,Maharashtra,"201 East wing, 2nd Floor, Nirlon House, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","201 East wing, 2nd Floor, Nirlon House, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","Mar 02, 2023 - Perpetual",aif
29,5 RIVERS CAPITAL TRUST I,IN/AIF2/24-25/1652,Category II,Deepto  Roy,droy@5riverscap.com,,,,,400021,Mumbai,Maharashtra,"C 1103 Floor 11 Plot 180 188 C Ashok Garden Tower 1 Tokersey Jivraj Road Swan Mill Compound Sewri, MUMBAI, MAHARASHTRA, 400015","34A Jolly Maker Chambers II Nariman Point, MUMBAI, MAHARASHTRA, 400021","Dec 04, 2024 - Perpetual",aif
30,77 EAST VENTURE FUND,IN/AIF1/23-24/1390,Category I,DHIRAJ GUPTA,dhiraj@77eastvp.com,,,,,560025,Bangalore,Karnataka,"Flat No.4C, Coventry Apartments, No. 28, Convent Road, Richmond Town, BANGALORE, KARNATAKA, 560025","Flat No.4C, Coventry Apartments, No. 28, Convent Road, Richmond Town, BANGALORE, KARNATAKA, 560025","Nov 23, 2023 - Perpetual",aif
31,888vc Accelerator Fund,IN/AIF1/24-25/1727,Category I,ROHIT BAFNA,rohit@888vc.co,,,,,560066,Bangalore,Karnataka,"C823 Parimala Sunridge Apartment, Siddhapura Whitefield, BANGALORE, KARNATAKA, 560066","C823 Parimala Sunridge Apartment, Siddhapura Whitefield, BANGALORE, KARNATAKA, 560066","Feb 17, 2025 - Perpetual",aif
32,8X VENTURES FUND,IN/AIF2/23-24/1480,Category II,Chirag Gupta,8xventures.nda@nishithdesai.com,,,,,110074,Delhi,National Capital Territory Of Delhi,"8X Ventures Fund at H No. 1, First Floor, KH No. 619 7, Opp. Tivoli Garden, Chattarpur, New Delhi 11, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110074","8X Ventures Fund at H No. 1, First Floor, KH No. 619 7, Opp. Tivoli Garden, Chattarpur, New Delhi 11, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110074","Mar 27, 2024 - Perpetual",aif
33,9Unicorns Accelerator Fund,IN/AIF1/18-19/0663,Category I,APOORV  SHARMA,info@vcatsaccelerator.com,,,,,400059,Mumbai,Maharashtra,"203 204, Mittal Commercia,, Off Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400059","203 204, Mittal Commercia, Off Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400059","Mar 29, 2019 - Perpetual",aif
34,A K ALTERNATIVE INVESTMENTS TRUST II,IN/AIF2/23-24/1311,Category II,Vikas Jain,vikas@akgroup.co.in,9102267546528,9102267546528,,,400098,Mumbai,Maharashtra,"604, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz, East, MUMBAI, MAHARASHTRA, 400098","604, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz, East, MUMBAI, MAHARASHTRA, 400098","Jul 19, 2023 - Perpetual",aif
35,A88 TRUST,IN/AIF2/25-26/2069,Category II,NITIN GUPTA,compliance.aif@infoedge.com,,,,,110019,New Delhi,National Capital Territory Of Delhi,"Unit No. GF 12A, 94, Meghdoot,, Nehru Place, New Delhi 110019, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,"Feb 27, 2026 - Perpetual",aif
36,A91 EMERGING FUND I LLP,IN/AIF2/19-20/0712,Category II,R  Narayanan,nari@a91partners.com,,,,,400018,Mumbai,Maharashtra,"1001 & 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","1001 & 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Jul 03, 2019 - Perpetual",aif
37,A91 Emerging Fund II LLP,IN/AIF2/21-22/0940,Category II,Ruchi Dsouza,ruchi@a91partners.com,,,,,400018,Mumbai,Maharashtra,"Number 1001 and 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Number 1001 and 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Oct 20, 2021 - Perpetual",aif
38,A91 Emerging Fund III LLP,IN/AIF2/24-25/1707,Category II,Ruchi Khajanchi,ruchi@a91partners.com,,,,,400018,Mumbai,Maharashtra,"702 Orchid Tower A 241242 Bellasis Road Mumbai Central Mumbai 400008, MUMBAI, MAHARASHTRA, 400008","Number 1001 1002 Lodha Supremus Dr. E. Moses Road Worli Naka Mumbai Maharashtra, India  400018, MUMBAI, MAHARASHTRA, 400018","Feb 05, 2025 - Perpetual",aif
39,A91 Partners Trust,IN/AIF2/19-20/0697,Category II,R Narayanan,nari@a91partners.com,,,,,400018,Mumbai,Maharashtra,"F-801, Jay Balaji CHS Ltd, Plot No. 26, Sector-6, Nerul, Navi Mumbai Thane, THANE, MAHARASHTRA, 400706","1001 & 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","May 22, 2019 - Perpetual",aif
40,A91 Partners Trust II,IN/AIF2/21-22/0950,Category II,Ruchi  Khajanchi,ruchi@a91partners.com,,,,,400018,Mumbai,Maharashtra,"1001 & 1002, Lodha Supremus, , Dr. E. Moses Road, Worli Naka, Mumbai 400018, MUMBAI, MAHARASHTRA, 400018","1001 & 1002, Lodha Supremus, , Dr. E. Moses Road, Worli Naka, Mumbai 400018, MUMBAI, MAHARASHTRA, 400018","Nov 08, 2021 - Perpetual",aif
41,A91 Partners Trust III,IN/AIF2/24-25/1755,Category II,Ruchi Khajanchi,ruchi@a91partners.com,9109833128216,9109833128216,,,400018,Mumbai,Maharashtra,"1001 and 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, Mumbai, Maharashtra,India 400018, MUMBAI, MAHARASHTRA, 400018","1001 and 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, Mumbai, Maharashtra,India 400018, MUMBAI, MAHARASHTRA, 400018","Mar 10, 2025 - Perpetual",aif
42,a99 Investment AIF Trust,IN/AIF2/25-26/2079,Category II,Ganesh Sathyamurthy,compliance@a99.vc,,,,,600008,Chennai,Tamil Nadu,"No. 74, 1st Floor, Fagun Mansion, Ethiraj Salai, Egmore, Chennai 600008, CHENNAI, TAMIL NADU, 600008",,"Mar 06, 2026 - Perpetual",aif
43,AAA India Equity Fund,IN/AIF3/22-23/1226,Category III,Mayur Thakhur,mayurthakur@alfaccurate.com,,,,,400013,Mumbai,Maharashtra,"503, B wing, Naman Midtown, Senapati Bapat Road, MUMBAI, MAHARASHTRA, 400013","503, B wing, Naman Midtown, Senapati Bapat Road, MUMBAI, MAHARASHTRA, 400013","Mar 09, 2023 - Perpetual",aif
44,AAA Zenith Fund,IN/AIF2/25-26/2022,Category II,Chirag Vaja,compliance@alfaccurate.com,,,,,400013,Mumbai,Maharashtra,"503 B Wing Naman Midtown , Senapati Bapat Road Mumbai 400013 Maharashtra India, MUMBAI, MAHARASHTRA, 400013","503 B Wing Naman Midtown , Senapati Bapat Road Mumbai 400013 Maharashtra India, MUMBAI, MAHARASHTRA, 400013","Jan 20, 2026 - Perpetual",aif
45,Aabhuti Investment Fund Trust,IN/AIF2/23-24/1446,Category II,Dinesh Agarwal,shankar.s@refex.co.in,,,,,600034,Chennai,Tamil Nadu,"Second Floor, Refex Towers, Sterling Road Signal 313,, Valluvar Kottam High Road, Nungambakkam, CHENNAI, TAMIL NADU, 600034","Second Floor, Refex Towers, Sterling Road Signal 313, Valluvar Kottam High Road, Nungambakkam, CHENNAI, TAMIL NADU, 600034","Feb 07, 2024 - Perpetual",aif
46,Aagama Ventures Trust,IN/AIF2/25-26/1879,Category II,Shubhanga Prasad,shubhanga@aagama.vc,,,,,400076,Mumbai,Maharashtra,"B 104 Powai Jaltarang CHS Powai Police Station, Rambaug Powai Mumbai Suburban, MUMBAI, MAHARASHTRA, 400076","B 104 Powai Jaltarang CHS Powai Police Station, Rambaug Powai Mumbai Suburban, MUMBAI, MAHARASHTRA, 400076","Aug 18, 2025 - Perpetual",aif
47,Aamara Holdings Trust,IN/AIF3/25-26/2116,Category III,Mridul Shah,sebi.compliance@aamaraamc.com,,,,,400013,Mumbai,Maharashtra,"701, Floor-7th, Casa Granade Tower,, Senapati Bapat Marg, Lower Parel, Delisle Road,, MUMBAI, MAHARASHTRA, 400013",,"Mar 30, 2026 - Perpetual",aif
48,Aarambh Fund 1,IN/AIF2/23-24/1397,Category II,SURESH NARASIMHA,suresh291974@gmail.com,,,,,560085,Bangalore,Karnataka,"No 96 5th Main Near Channaman Kere, Achukattu Telephone Exchange Banashankari 3rd stage, BANGALORE, KARNATAKA, 560085","No 96 5th Main Near Channaman Kere, Achukattu Telephone Exchange Banashankari 3rd stage, BANGALORE, KARNATAKA, 560085","Dec 01, 2023 - Perpetual",aif
49,Aaroh Capital Trust,IN/AIF2/25-26/1875,Category II,Amber Maheshwari,amber@aarohcapital.in,,,,,,Karnataka,5600038,"No. 367, 3rd Floor, 100 Feet Road, HAL 2nd Stage, Indiranagar, BANGALORE, KARNATAKA, 5600038","No. 367, 3rd Floor, 100 Feet Road, HAL 2nd Stage, Indiranagar, BANGALORE, KARNATAKA, 5600038","Aug 12, 2025 - Perpetual",aif
50,Aarth.AIF,IN/AIF3/24-25/1610,Category III,Rishi Agarwal,aarthfundmanager@gmail.com,,,,,302017,Jaipur,Rajasthan,"The Ruby 2nd Floor SW 29 Senapati Bapat Marg, Dadar west Mumbai, MUMBAI, MAHARASHTRA, 400028","A 505 North Block World Trade Park, JLN Marg Jaipur, JAIPUR, RAJASTHAN, 302017","Oct 07, 2024 - Perpetual",aif
51,AARUHA TECHNOLOGY FUND,IN/AIF1/15-16/0154,Category I,,,,,,,,,,,,"Jun 01, 2015 - Perpetual",aif
52,Aavihi India Trust,IN/AIF3/25-26/2050,Category III,Meghna Agrawal,meghna.agrawal@aavihi.com,,,,,560099,Bangalore,Karnataka,"261 A Bommasandra Industrial Area, Hosur Road, BANGALORE, KARNATAKA, 560099","261 A Bommasandra Industrial Area, Hosur Road, BANGALORE, KARNATAKA, 560099","Feb 16, 2026 - Perpetual",aif
53,AAVISHKAAR BHARAT FUND,IN/AIF2/16-17/0269,Category II,,,,,,,400051,Mumbai,Maharashtra,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051",,"Oct 18, 2016 - Perpetual",aif
54,Aavishkaar India Fund VI,IN/AIF2/21-22/0877,Category II,Amol Ganu,amol_ganu@aavishkaar.in,,,,,400051,Mumbai,Maharashtra,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051","Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Apr 27, 2021 - Perpetual",aif
55,Aavishkaar Nxtgen Trust,IN/AIF2/26-27/2183,Category II,Shamkant Joshi,fund.compliance@aavishkaar.in,9102261248900,9102261248900,,,400051,Mumbai,Maharashtra,"Unit no 202 203 204 2nd floor Naman Centre, G block Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051",,"May 19, 2026 - Perpetual",aif
56,Abakkus Growth Fund,IN/AIF3/18-19/0550,Category III,Biharilal Deora,biharilal.deora@abakkusinvest.com,,,,,400055,Mumbai,Maharashtra,"6th Floor,Param House,Shanti Nagar,Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","6th Floor,Param House,Shanti Nagar,Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","Jun 05, 2018 - Perpetual",aif
57,ABAKKUS INDIA EQUITY TRUST,IN/AIF3/23-24/1326,Category III,Biharilal Deora,complianceteam@abakkusinvest.com,,,,,400055,Mumbai,Maharashtra,"Abakkus Corporate Center, Sixth Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz, MUMBAI, MAHARASHTRA, 400055","Abakkus Corporate Center, Sixth Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz, MUMBAI, MAHARASHTRA, 400055","Aug 09, 2023 - Perpetual",aif
58,ABANS INVESTMENT TRUST,IN/AIF2/21-22/0896,Category II,RAJENDRA SAWANT,abans.nda@nishithdesai.com,,,,,400021,Mumbai,Maharashtra,"36, 37, 38A, 3rd Floor, , 227 Nariman Bhavan, Mumbai 400 021, Maharashtra, India, MUMBAI, MAHARASHTRA, 400021","36, 37, 38A, 3rd Floor, , 227 Nariman Bhavan, Mumbai 400 021, Maharashtra, India, MUMBAI, MAHARASHTRA, 400021","Jun 25, 2021 - Perpetual",aif
59,Abhi Incubation Angel Fund,IN/AIF1/24-25/1514,Category I,Abhimanyu Londhe,abhimanyu@pushya.net,,,,,400075,Mumbai,Maharashtra,"23th floor Godrej Platinum, Tower B3 Vikhroli, MUMBAI, MAHARASHTRA, 400079","813, 814, 8th floor, B Wing, Damji Shamji Corporate Square, MUMBAI, MAHARASHTRA, 400075","May 07, 2024 - Perpetual",aif
60,Access Fund Trust,IN/AIF2/25-26/1839,Category II,Nilesh Mehta,nilesh@accesspe.in,,,,,400025,Mumbai,Maharashtra,"10th Floor 1004, B Square, Near Neptune House, Iscon Ambali BRTS Road, Ambli, Ahmedabad, Daskroi, AHMEDABAD, GUJARAT, 380058","A 3802, 25 South, Yadav Patil Marg, Off Veer Savarkar Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","Jul 04, 2025 - Perpetual",aif
61,ACCESS INDIA FUND,IN/AIF1/25-26/1947,Category I,Nilesh Mehta,nilesh@accesspe.in,,,,,400025,Mumbai,Maharashtra,"801, Abhijeet, Mithakhali Six Rasta, Ahmedabad, AHMEDABAD, GUJARAT, 380009","A/3802, 25 South, Yadav Patil Marg, Off Veer Savarkar Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","Nov 03, 2025 - Perpetual",aif
62,Accor Growth Fund,IN/AIF3/25-26/1898,Category III,Surya  Tripathi,capithoncorporate@gmail.com,,,,,380059,Ahmedabad,Gujarat,"Office No - 201, 2nd Floor, Harmony Icon, Zydus Hospital Rd, nr. Baghban Party Plot Road, AHMEDABAD, GUJARAT, 380059","Office No - 201, 2nd Floor, Harmony Icon, Zydus Hospital Rd, nr. Baghban Party Plot Road, AHMEDABAD, GUJARAT, 380059","Sep 11, 2025 - Perpetual",aif
63,Accuracap Prime Opportunities Fund,IN/AIF3/17-18/0521,Category III,Raman  Nagpal,rnagpal@accuracap.com,,,,,201301,Noida,Uttar Pradesh,"Office no. 919, 9th Floor,, Wave Silver Tower, Sector 18,, NOIDA, UTTAR PRADESH, 201301","Office no. 919, 9th Floor, Wave Silver Tower, Sector 18, NOIDA, UTTAR PRADESH, 201301","Feb 27, 2018 - Perpetual",aif
64,Achievers Investment Trust,IN/AIF2/25-26/1981,Category II,Anjana Tolani,anjanatolani@gmail.com,,,,,400057,Mumbai,Maharashtra,"Flt B 601, Charmee Enclave, Plot 342, Service Road, Vileeparle East, MUMBAI, MAHARASHTRA, 400057","Flt B 601, Charmee Enclave, Plot 342, Service Road, Vileeparle East, MUMBAI, MAHARASHTRA, 400057","Dec 09, 2025 - Perpetual",aif
65,Achieving Women Entrepreneurs Early Growth Trust,IN/AIF2/19-20/0722,Category II,Prachi Jain,prachi@awefunds.com,,,,,400097,Mumbai,Maharashtra,"1301, C Wing, Rizvi Oak, Sadguru Wamanrao Pai Road, Malad (East), MUMBAI, MAHARASHTRA, 400097","1301, C Wing, Rizvi Oak, Sadguru Wamanrao Pai Road, Malad (East), MUMBAI, MAHARASHTRA, 400097","Aug 06, 2019 - Perpetual",aif
66,ACME CAT III AIF TRUST,IN/AIF3/23-24/1380,Category III,Anand Prakash,csanand.prakash@outlook.com,,,,,400099,Mumbai,Maharashtra,"F23 1, 1st Floor, Krishna Nagar Delhi East, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110051","B706, Kanakia Wall Street, 7th Floor, BWing, Andheri, MUMBAI, MAHARASHTRA, 400099","Nov 15, 2023 - Perpetual",aif
67,ACME FINVEST TRUST,IN/AIF1/24-25/1767,Category I,Anand Prakash,csanand.prakash@outlook.com,,,,,400099,Mumbai,Maharashtra,"F23, 1, 1st Floor, Krishna Nagar Delhi East Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110051","B706, Kanakia Wall Street, 7th Floor, BWing, Andheri East, Mumbai, MUMBAI, MAHARASHTRA, 400099","Mar 24, 2025 - Perpetual",aif
68,Acquitas Investment Fund,IN/AIF2/26-27/2216,Category II,Jitu Khattri,jitu@acquitas.in,,,,,110001,New Delhi,National Capital Territory Of Delhi,"819, Naurang House, 21 K.G. Marg,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001",,"Jun 11, 2026 - Perpetual",aif
